Year,Armed forces personnel (% of total labor force),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Country Code
1991-01-01,1.6526607565335254,1.12281407061633,4.5214746473612,3.0011324380533,2.77697481963934,1.27861474405112,3.98977233326227,24.50177348253,13.6576675657325,33.2791741132931,72.7212516978306,85.0637176902164,62.7310505094238,44.52295128727851,128277990.0,,,,75.18920520347977,5.28412016715445,12.0405672417467,9.01816725784013,6.359,7.154,6.8,4.161306096538115,7.5190925943854605,6.017034819786835,USA
1992-01-01,1.4725354197687697,1.08078490666057,4.35649319295055,2.88554177487996,2.74026918305949,1.24400157412683,3.95978796809271,23.9273514860852,13.3029697815834,32.5866536008984,73.3323701625632,85.4530212198636,63.4535584310089,44.6645325026761,130387356.0,,,,75.73118699274534,5.09407722869916,11.6331466545699,8.69678994817056,7.002,7.902,7.5,4.013294178145214,7.2766534616193495,5.811248173290596,USA
1993-01-01,1.380959846156824,1.10412502032064,4.43074848133232,2.93437134910652,2.59024256753565,1.16207192976329,3.75788823114501,23.4685079194241,12.6998672018145,32.2727590790678,73.9412405085321,86.1380626882485,63.9693437626407,44.82342231730206,131792391.0,,,,76.30920331714444,5.12288204291664,11.8384119105046,8.81764077593949,6.57,7.168,6.9,4.018755202769692,7.4076634291722545,5.883268608241246,USA
1994-01-01,1.2828481950762214,1.14087050097815,4.48326087169029,2.96680667984925,2.77019244200308,1.51183447410128,3.81526855015873,23.40159159143,12.6372478104806,32.3414645320209,73.8282151695158,85.8509089315863,63.8432654588121,45.33838510996907,134076659.0,40.14,22.8,30.78,78.00106051747814,5.04392249975502,11.9189226216452,8.79971024323513,6.052,6.174,6.119,3.903051998776873,7.435660290946666,5.832903563385871,USA
1995-01-01,1.2028620084955328,1.12069928109881,4.37538345465166,2.89698237194548,2.75420328600108,1.53556745640329,3.76847426988862,23.4411520584161,12.4890532221349,32.5565902805525,73.8046540309158,85.9753810414363,63.6749426072364,45.43403296546441,135975697.0,39.71,22.16,30.25,78.4024715553378,4.90091261160313,11.6003855754714,8.55723065746479,5.671,5.633,5.65,3.780213330504318,7.225002120819694,5.660248285519307,USA
1996-01-01,1.1387477542762128,1.10609195905891,4.2943125915731,2.84264374880902,2.71727179073141,1.48729613644371,3.74546717878019,23.3205508197695,12.4745236642003,32.3872739393046,73.9621873639093,86.0381886248364,63.8672631078786,45.540124227304304,138055157.0,39.58,22.2,30.22,78.83976697337616,4.84812903791129,11.4472470469391,8.44251961191384,5.47,5.435,5.451,3.7420370788523787,7.152934455366028,5.5998758631048196,USA
1997-01-01,1.0907126497215271,1.09567160255317,4.23030135774823,2.79747169607852,2.62353511557625,1.41433982826658,3.64161775097551,23.3679125372322,12.4432383656112,32.5659368698877,74.0085523471916,86.1424218061222,63.7924467596848,45.744167710560646,140577814.0,38.38,21.3,29.2,79.59142037185643,4.76010694346971,11.2343472606925,8.27499108877543,5.074,4.937,5.0,3.664433701212428,7.004045902944302,5.477519392696921,USA
1998-01-01,1.1209670336464725,1.06342259572388,4.0939579578152,2.70859964711376,2.56954373702797,1.35463401822783,3.59258590103747,23.2095720342696,12.2510575684617,32.4374420357605,74.2208739175849,86.3943068021643,63.9699679930965,45.7652541302941,142198651.0,39.87,22.62,30.6,79.77865009268345,4.53396699930983,10.8167375448454,7.94467383940945,4.622,4.418,4.511,3.470544403585951,6.722779587030243,5.236074192295682,USA
1999-01-01,1.0929499909663347,1.03572502199471,3.97499583716106,2.6299506754129,2.45789873334491,1.35640151177325,3.38722767634652,22.7091572563178,11.815096034086,31.9004463115893,74.8329440103373,86.8285103663339,64.7123233418661,45.82087428171673,144105404.0,37.09,20.65,28.29,80.10941934075528,4.3648355125543,10.4348487135145,7.65714022540303,4.34,4.117,4.219,3.329110490559595,6.4598542114525666,5.0271895499901325,USA
2000-01-01,0.9953106827951694,1.03280260587738,3.93683369103265,2.60811960990219,2.26208726411946,1.25449667897692,3.11194791651969,22.6975317592377,11.554739623431,32.0960148892445,75.0403788406765,87.1907636975921,64.7920371942358,45.806041423642924,146165416.0,35.55,19.44,26.92,80.21068985254436,4.31631237072053,10.3042775485452,7.56453631954154,4.099,3.901,3.992,3.283509764843136,6.3674438575124945,4.956416709639341,USA
